# x_m,y_m,w_tr_right_m,w_tr_left_m
399.5637888,-1596.45117,6,6
394.5699226,-1602.60705,6,6
389.5760528,-1608.76292,6,6
384.5821794,-1614.91878,6,6
379.5883025,-1621.07464,6,6
374.594422,-1627.23049,6,6
369.600538,-1633.38634,6,6
364.6066505,-1639.54218,6,6
359.7630896,-1645.90306,6,6
354.9610306,-1652.31147,6,6
350.9303574,-1659.59022,6,6
346.8997648,-1666.86913,6,6
342.8691217,-1674.14787,6,6
338.838471,-1681.42677,6,6
334.8078138,-1688.7055,6,6
330.7771496,-1695.98422,6,6
326.7464778,-1703.2631,6,6
322.7152598,-1710.54181,6,6
318.6851143,-1717.82051,6,6
315.3828657,-1725.68062,6,6
312.3412169,-1733.74941,6,6
309.2998657,-1741.8182,6,6
306.2593215,-1749.88682,6,6
303.2173418,-1757.95559,6,6
300.1068657,-1765.97828,6,6
296.9466049,-1773.96728,6,6
293.7860357,-1781.95627,6,6
290.673837,-1789.97538,6,6
287.9748847,-1798.25218,6,6
285.2757101,-1806.52897,6,6
282.5769483,-1814.80576,6,6
279.8779642,-1823.08254,6,6
276.8629979,-1831.15182,6,6
273.6477577,-1839.04319,6,6
273.0513013,-1848.01231,6,6
272.4548156,-1856.98159,6,6
272.5548183,-1865.87926,6,6
274.1726688,-1874.6209,6,6
275.790455,-1883.36254,6,6
278.6454656,-1891.32048,6,6
282.8008972,-1898.45466,6,6
286.9563222,-1905.58884,6,6
292.4071871,-1910.92884,6,6
298.0235191,-1916.0376,6,6
303.6412371,-1921.14637,6,6
310.0784652,-1923.94849,6,6
316.6583014,-1926.35167,6,6
323.2870437,-1928.44276,6,6
330.0562794,-1929.63711,6,6
336.8255198,-1930.83146,6,6
343.5947651,-1932.02581,6,6
350.3640152,-1933.22016,6,6
357.1332701,-1934.41452,6,6
363.8658657,-1935.91992,6,6
370.5990857,-1937.43135,6,6
377.3305943,-1938.94261,6,6
384.0628195,-1940.45389,6,6
390.7855751,-1942.03567,6,6
397.5065481,-1943.6318,6,6
404.2272282,-1945.22793,6,6
410.948061,-1946.82422,6,6
417.6566882,-1948.50599,6,6
424.3662136,-1950.1805,6,6
431.1165302,-1951.5466,6,6
437.8668657,-1952.91287,6,6
444.6038657,-1954.3879,6,6
451.3358916,-1955.89935,6,6
458.0681704,-1957.41065,6,6
464.8004538,-1958.92195,6,6
471.5327425,-1960.43326,6,6
478.2650356,-1961.94471,6,6
484.9973339,-1963.45602,6,6
491.7296367,-1964.96733,6,6
498.4777597,-1966.34426,6,6
505.2453679,-1967.55547,6,6
512.0129803,-1968.76685,6,6
518.7805981,-1969.97807,6,6
525.52891,-1971.35361,6,6
532.2612428,-1972.86493,6,6
538.9935803,-1974.37626,6,6
545.7259223,-1975.88759,6,6
552.4484024,-1977.47019,6,6
559.1706567,-1979.05249,6,6
565.9096581,-1980.51214,6,6
572.6486642,-1981.97179,6,6
579.3860536,-1983.44409,6,6
586.1184254,-1984.95543,6,6
592.8508012,-1986.46693,6,6
599.5831821,-1987.97828,6,6
606.3195207,-1989.46185,6,6
613.0865224,-1990.67325,6,6
619.8538657,-1991.88451,6,6
626.6219102,-1993.09576,6,6
633.3830306,-1994.36457,6,6
640.1152579,-1995.87608,6,6
646.8482775,-1997.38744,6,6
653.5800935,-1998.8988,6,6
660.3135963,-2000.3955,6,6
667.0885294,-2001.54196,6,6
673.8623036,-2002.68842,6,6
680.6371971,-2003.83488,6,6
687.4115382,-2004.98135,6,6
694.1513249,-2006.43255,6,6
700.8878502,-2007.91245,6,6
707.6243796,-2009.39251,6,6
714.3608986,-2010.87242,6,6
721.0978657,-2012.35233,6,6
727.8922312,-2012.94133,6,6
734.7239081,-2012.96581,6,6
741.4436843,-2011.75038,6,6
748.0772987,-2009.58039,6,6
754.5535846,-2006.78853,6,6
760.8407783,-2003.24966,6,6
766.1965626,-1997.82517,6,6
771.1909968,-1991.66911,6,6
775.973252,-1985.26576,6,6
780.004461,-1977.9865,6,6
784.0356631,-1970.70723,6,6
786.5709785,-1962.37665,6,6
788.9256798,-1953.91916,6,6
791.5083094,-1945.57825,6,6
794.1200743,-1937.25225,6,6
796.6550769,-1928.886,6,6
799.106647,-1920.47622,6,6
801.5582061,-1912.06644,6,6
804.0098657,-1903.6565,6,6
808.0433768,-1896.68252,6,6
812.5942412,-1889.95504,6,6
818.6667399,-1885.8545,6,6
825.0795941,-1883.12883,6,6
831.8654002,-1882.10664,6,6
838.6971561,-1882.13103,6,6
845.2124916,-1884.38558,6,6
851.3631075,-1888.13075,6,6
856.8678969,-1893.42511,6,6
862.458228,-1898.35919,6,6
867.083678,-1904.97284,6,6
871.7084316,-1911.58711,6,6
875.8100922,-1918.77637,6,6
