x_m,y_m,w_tr_right_m,w_tr_left_m
3916.372494,1719.873676,4,4
3949.96342,1689.230565,4,4
3961.676354,1679.321158,4,4
3974.154367,1669.54673,4,4
3988.422864,1659.412096,4,4
4003.642522,1649.974831,4,4
4025.220875,1638.083829,4,4
4097.787762,1601.775703,4,4
4122.85981,1590.390967,4,4
4127.803265,1588.487575,4,4
4132.605562,1586.888428,4,4
4138.460039,1585.516595,4,4
4143.860499,1584.457509,4,4
4150.909644,1583.843181,4,4
4158.269813,1583.676582,4,4
4167.225102,1584.078592,4,4
4178.493659,1585.02971,4,4
4213.892952,1590.232037,4,4
4227.180213,1593.987838,4,4
4244.177774,1601.525928,4,4
4261.772187,1610.082592,4,4
4293.549457,1626.298469,4,4
4324.479665,1642.248239,4,4
4349.286338,1656.739926,4,4
4371.165808,1671.923072,4,4
4436.637915,1719.502476,4,4
4467.367996,1744.9045,4,4
4482.259629,1758.51962,4,4
4500.326235,1773.50623,4,4
4517.980269,1783.775501,4,4
4532.179856,1789.45437,4,4
4544.907739,1792.814432,4,4
4578.911909,1798.068052,4,4
4679.374854,1811.802711,4,4
4722.422104,1816.000224,4,4
4739.905516,1819.198662,4,4
4764.498394,1825.86526,4,4
4791.633896,1832.363052,4,4
4803.413099,1834.069354,4,4
4807.824936,1834.083529,4,4
4812.400089,1833.559241,4,4
4821.286773,1830.392733,4,4
4825.978147,1827.851501,4,4
4829.766548,1825.334693,4,4
4834.141657,1821.622661,4,4
4837.786735,1817.752359,4,4
4841.047061,1813.336163,4,4
4843.774138,1808.934389,4,4
4846.443691,1802.142074,4,4
4847.345769,1796.821688,4,4
4847.462026,1796.384629,4,4
4847.624535,1784.764653,4,4
4845.683036,1772.433876,4,4
4842.081755,1759.769697,4,4
4836.062012,1747.660467,4,4
4830.027312,1739.735038,4,4
4821.325676,1731.85949,4,4
4778.811423,1698.463122,4,4
4751.942287,1680.008789,4,4
4737.629586,1670.938946,4,4
4723.798575,1660.476473,4,4
4712.49727,1649.889937,4,4
4701.215333,1638.969117,4,4
4684.638942,1625.666027,4,4
4663.099748,1612.508474,4,4
4648.599762,1602.053171,4,4
4631.739656,1589.581246,4,4
4618.416027,1581.842301,4,4
4608.06266,1576.581931,4,4
4602.013924,1573.67497,4,4
4589.286148,1566.921301,4,4
4582.753477,1562.436443,4,4
4578.119224,1557.110215,4,4
4575.115478,1552.084727,4,4
4573.589717,1548.821622,4,4
4572.319339,1544.216472,4,4
4571.59399,1540.030473,4,4
4571.778682,1532.927045,4,4
4572.630713,1528.130885,4,4
4573.926543,1523.956887,4,4
4575.642849,1520.594827,4,4
4577.792896,1517.221018,4,4
4581.230795,1513.055751,4,4
4583.960163,1510.578588,4,4
4586.904471,1508.41826,4,4
4589.856126,1506.791785,4,4
4593.233325,1505.376307,4,4
4599.609649,1503.823967,4,4
4606.015486,1503.361189,4,4
4611.72936,1503.885126,4,4
4617.267138,1505.526443,4,4
4622.027993,1507.644973,4,4
4625.011407,1509.555743,4,4
4628.112918,1511.886106,4,4
4631.834029,1515.81297,4,4
4634.106963,1519.07811,4,4
4635.963387,1522.465789,4,4
4639.927375,1532.472031,4,4
4646.12391,1547.669319,4,4
4652.484086,1559.713511,4,4
4656.81989,1566.371881,4,4
4661.278172,1571.24677,4,4
4665.80563,1575.786009,4,4
4677.203564,1585.201605,4,4
4709.769892,1609.587336,4,4
4720.508044,1617.240709,4,4
4727.176304,1621.221387,4,4
4736.916627,1625.397092,4,4
4747.372259,1629.186299,4,4
4899.50699,1673.592552,4,4
4918.333672,1677.511856,4,4
4938.941489,1679.936711,4,4
4953.604622,1681.187144,4,4
4990.877199,1684.419184,4,4
4999.143893,1685.419745,4,4
5008.484617,1687.459407,4,4
5013.703402,1689.421269,4,4
5017.649152,1691.406392,4,4
5024.336215,1695.042016,4,4
5031.039878,1699.556155,4,4
5043.938032,1708.965364,4,4
5102.373754,1753.404916,4,4
5113.428599,1763.598357,4,4
5127.249886,1778.223191,4,4
5135.078566,1788.047575,4,4
5163.769757,1828.4841,4,4
5172.954019,1842.933756,4,4
5176.608326,1851.001652,4,4
5178.171094,1856.444611,4,4
5179.205265,1860.755852,4,4
5179.853395,1864.999626,4,4
