Loading track data from high_fidel_track.csv...
--------------------------------------------------------------------------------
SIM PHYSICS | MULTI-POINT VISION | FREE RACING LINE | AUTO-STOP
--------------------------------------------------------------------------------
C:\Users\zinov\AppData\Roaming\Python\Python312\site-packages\stable_baselines3\common\on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
...
Gen  6993 | Result: off_track    | Prog:   0.3% | Reward:   0.10 | Max Spd:   9.8 m/s | Time:   3.9s
Gen  6994 | Result: off_track    | Prog:   4.8% | Reward:   2.74 | Max Spd:  14.7 m/s | Time:  29.2s
Gen  6995 | Result: off_track    | Prog:   2.0% | Reward:   1.12 | Max Spd:  18.0 m/s | Time:  15.0s
Gen  6996 | Result: off_track    | Prog:   7.3% | Reward:   3.98 | Max Spd:  14.8 m/s | Time:  52.0s
Gen  6997 | Result: off_track    | Prog:   0.5% | Reward:   0.23 | Max Spd:  10.5 m/s | Time:   7.8s
Gen  6998 | Result: off_track    | Prog:   5.0% | Reward:   3.00 | Max Spd:  20.2 m/s | Time:  21.5s
Gen  6999 | Result: off_track    | Prog:   1.2% | Reward:   0.52 | Max Spd:  10.5 m/s | Time:  16.4s
Gen  7000 | Result: off_track    | Prog:   0.6% | Reward:   0.31 | Max Spd:  12.8 m/s | Time:   5.3s
Gen  7001 | Result: off_track    | Prog:   5.1% | Reward:   2.93 | Max Spd:  19.3 m/s | Time:  26.1s
Gen  7002 | Result: off_track    | Prog:   0.1% | Reward:  -0.01 | Max Spd:   5.4 m/s | Time:   4.6s
Gen  7003 | Result: off_track    | Prog:   8.8% | Reward:   4.96 | Max Spd:  18.2 m/s | Time:  55.2s
Gen  7004 | Result: off_track    | Prog:   0.4% | Reward:  -0.03 | Max Spd:   6.0 m/s | Time:  14.9s
Gen  7005 | Result: off_track    | Prog:   4.5% | Reward:   2.54 | Max Spd:  17.5 m/s | Time:  29.9s
Gen  7006 | Result: off_track    | Prog:   2.2% | Reward:   1.25 | Max Spd:  19.3 m/s | Time:  13.7s
Gen  7007 | Result: off_track    | Prog:   5.1% | Reward:   3.00 | Max Spd:  19.8 m/s | Time:  25.2s
Gen  7008 | Result: off_track    | Prog:   3.4% | Reward:   1.93 | Max Spd:  19.7 m/s | Time:  21.2s
Gen  7009 | Result: off_track    | Prog:   0.2% | Reward:  -0.10 | Max Spd:   6.2 m/s | Time:   8.9s
Gen  7010 | Result: off_track    | Prog:   0.4% | Reward:   0.16 | Max Spd:  10.3 m/s | Time:   6.1s
Gen  7011 | Result: off_track    | Prog:   0.3% | Reward:   0.09 | Max Spd:   7.8 m/s | Time:   4.1s
Gen  7012 | Result: off_track    | Prog:   4.9% | Reward:   2.66 | Max Spd:  16.5 m/s | Time:  36.1s
Gen  7013 | Result: off_track    | Prog:   0.3% | Reward:  -0.02 | Max Spd:   7.1 m/s | Time:   8.2s
Gen  7014 | Result: off_track    | Prog:   0.7% | Reward:   0.40 | Max Spd:  12.1 m/s | Time:   5.0s
Gen  7015 | Result: off_track    | Prog:   1.6% | Reward:   0.95 | Max Spd:  17.0 m/s | Time:   8.0s
Gen  7016 | Result: off_track    | Prog:   4.9% | Reward:   2.89 | Max Spd:  23.1 m/s | Time:  21.7s
Gen  7017 | Result: off_track    | Prog:   0.2% | Reward:   0.05 | Max Spd:   6.8 m/s | Time:   4.5s
Gen  7018 | Result: off_track    | Prog:   5.0% | Reward:   2.90 | Max Spd:  19.3 m/s | Time:  26.7s
Gen  7019 | Result: off_track    | Prog:   0.3% | Reward:   0.09 | Max Spd:   6.4 m/s | Time:   3.7s
Gen  7020 | Result: off_track    | Prog:   0.9% | Reward:   0.42 | Max Spd:  11.4 m/s | Time:   9.7s
Gen  7021 | Result: off_track    | Prog:   1.6% | Reward:   0.85 | Max Spd:  17.2 m/s | Time:  13.4s
Gen  7022 | Result: off_track    | Prog:   4.6% | Reward:   2.74 | Max Spd:  20.2 m/s | Time:  21.0s
Gen  7023 | Result: off_track    | Prog:   1.5% | Reward:   0.77 | Max Spd:  11.4 m/s | Time:  13.1s
Gen  7024 | Result: off_track    | Prog:   2.3% | Reward:   1.34 | Max Spd:  16.3 m/s | Time:  13.5s
Gen  7025 | Result: off_track    | Prog:   1.9% | Reward:   0.73 | Max Spd:   9.0 m/s | Time:  29.1s
Gen  7026 | Result: off_track    | Prog:   4.9% | Reward:   2.95 | Max Spd:  21.2 m/s | Time:  21.2s
Gen  7027 | Result: off_track    | Prog:   4.7% | Reward:   2.78 | Max Spd:  20.7 m/s | Time:  22.1s
Gen  7028 | Result: off_track    | Prog:   5.1% | Reward:   3.01 | Max Spd:  20.4 m/s | Time:  17.9s
Gen  7029 | Result: off_track    | Prog:   0.2% | Reward:   0.06 | Max Spd:  10.1 m/s | Time:   3.4s
Gen  7030 | Result: off_track    | Prog:   0.5% | Reward:   0.20 | Max Spd:   8.9 m/s | Time:   9.0s
Gen  7031 | Result: off_track    | Prog:   0.3% | Reward:   0.09 | Max Spd:   5.8 m/s | Time:   5.0s
Gen  7032 | Result: off_track    | Prog:   4.1% | Reward:   2.05 | Max Spd:  12.5 m/s | Time:  39.8s
Gen  7033 | Result: off_track    | Prog:   1.1% | Reward:   0.56 | Max Spd:  16.7 m/s | Time:   8.8s
Gen  7034 | Result: off_track    | Prog:   0.1% | Reward:   0.01 | Max Spd:   7.7 m/s | Time:   4.1s
Gen  7035 | Result: off_track    | Prog:   0.9% | Reward:   0.34 | Max Spd:   9.5 m/s | Time:  13.6s
Gen  7036 | Result: off_track    | Prog:   5.0% | Reward:   2.95 | Max Spd:  19.1 m/s | Time:  23.8s
Gen  7037 | Result: off_track    | Prog:   1.2% | Reward:   0.72 | Max Spd:  23.2 m/s | Time:   4.5s
Gen  7038 | Result: off_track    | Prog:   4.3% | Reward:   2.57 | Max Spd:  19.4 m/s | Time:  21.7s
Gen  7039 | Result: off_track    | Prog:   2.1% | Reward:   1.13 | Max Spd:  15.9 m/s | Time:  15.4s
Gen  7040 | Result: off_track    | Prog:   2.1% | Reward:   1.17 | Max Spd:  18.7 m/s | Time:  13.8s
Gen  7041 | Result: off_track    | Prog:   1.9% | Reward:   1.06 | Max Spd:  17.9 m/s | Time:  11.6s
Gen  7042 | Result: off_track    | Prog:   5.1% | Reward:   2.68 | Max Spd:  17.1 m/s | Time:  40.7s
Gen  7043 | Result: off_track    | Prog:   5.1% | Reward:   2.90 | Max Spd:  20.0 m/s | Time:  26.5s
Gen  7044 | Result: off_track    | Prog:   2.1% | Reward:   1.08 | Max Spd:  12.9 m/s | Time:  20.9s
Gen  7045 | Result: off_track    | Prog:   5.1% | Reward:   2.85 | Max Spd:  20.3 m/s | Time:  28.5s
Gen  7046 | Result: off_track    | Prog:   1.9% | Reward:   0.89 | Max Spd:  11.4 m/s | Time:  24.2s
Gen  7047 | Result: off_track    | Prog:   4.8% | Reward:   2.88 | Max Spd:  22.1 m/s | Time:  20.2s
Gen  7048 | Result: off_track    | Prog:   3.1% | Reward:   1.66 | Max Spd:  20.6 m/s | Time:  23.8s
Gen  7049 | Result: off_track    | Prog:   5.0% | Reward:   3.01 | Max Spd:  19.8 m/s | Time:  20.7s
Gen  7050 | Result: off_track    | Prog:   4.8% | Reward:   2.92 | Max Spd:  20.3 m/s | Time:  18.7s
Gen  7051 | Result: off_track    | Prog:   0.2% | Reward:   0.06 | Max Spd:   7.5 m/s | Time:   3.9s
