x_m;y_m;w_tr_right_m;w_tr_left_m;z_m
363.86586570;-1935.91992000;6.00000000;6.00000000;35.60000000
370.59908570;-1937.43135000;6.00000000;6.00000000;35.60000000
377.33059430;-1938.94261000;6.00000000;6.00000000;35.50000000
384.06281950;-1940.45389000;6.00000000;6.00000000;35.40000000
390.78557510;-1942.03567000;6.00000000;6.00000000;35.30000000
397.50654810;-1943.63180000;6.00000000;6.00000000;35.20000000
404.22722820;-1945.22793000;6.00000000;6.00000000;35.10000000
410.94806100;-1946.82422000;6.00000000;6.00000000;35.00000000
417.65668820;-1948.50599000;6.00000000;6.00000000;35.00000000
424.36621360;-1950.18050000;6.00000000;6.00000000;35.00000000
431.11653020;-1951.54660000;6.00000000;6.00000000;35.00000000
437.86686570;-1952.91287000;6.00000000;6.00000000;35.00000000
444.60386570;-1954.38790000;6.00000000;6.00000000;35.00000000
451.33589160;-1955.89935000;6.00000000;6.00000000;35.00000000
458.06817040;-1957.41065000;6.00000000;6.00000000;34.90000000
464.80045380;-1958.92195000;6.00000000;6.00000000;34.70000000
471.53274250;-1960.43326000;6.00000000;6.00000000;34.60000000
478.26503560;-1961.94471000;6.00000000;6.00000000;34.50000000
484.99733390;-1963.45602000;6.00000000;6.00000000;34.40000000
491.72963670;-1964.96733000;6.00000000;6.00000000;34.40000000
498.47775970;-1966.34426000;6.00000000;6.00000000;34.30000000
505.24536790;-1967.55547000;6.00000000;6.00000000;34.40000000
512.01298030;-1968.76685000;6.00000000;6.00000000;34.40000000
518.78059810;-1969.97807000;6.00000000;6.00000000;34.40000000
525.52891000;-1971.35361000;6.00000000;6.00000000;34.50000000
532.26124280;-1972.86493000;6.00000000;6.00000000;34.50000000
538.99358030;-1974.37626000;6.00000000;6.00000000;34.50000000
545.72592230;-1975.88759000;6.00000000;6.00000000;34.40000000
552.44840240;-1977.47019000;6.00000000;6.00000000;34.20000000
559.17065670;-1979.05249000;6.00000000;6.00000000;34.10000000
565.90965810;-1980.51214000;6.00000000;6.00000000;34.00000000
572.64866420;-1981.97179000;6.00000000;6.00000000;33.90000000
579.38605360;-1983.44409000;6.00000000;6.00000000;33.80000000
586.11842540;-1984.95543000;6.00000000;6.00000000;33.60000000
592.85080120;-1986.46693000;6.00000000;6.00000000;33.50000000
599.58318210;-1987.97828000;6.00000000;6.00000000;33.40000000
606.31952070;-1989.46185000;6.00000000;6.00000000;33.30000000
613.08652240;-1990.67325000;6.00000000;6.00000000;33.20000000
619.85386570;-1991.88451000;6.00000000;6.00000000;33.00000000
626.62191020;-1993.09576000;6.00000000;6.00000000;32.80000000
633.38303060;-1994.36457000;6.00000000;6.00000000;32.50000000
640.11525790;-1995.87608000;6.00000000;6.00000000;32.20000000
646.84827750;-1997.38744000;6.00000000;6.00000000;32.00000000
653.58009350;-1998.89880000;6.00000000;6.00000000;31.70000000
660.31359630;-2000.39550000;6.00000000;6.00000000;31.40000000
667.08852940;-2001.54196000;6.00000000;6.00000000;31.10000000
673.86230360;-2002.68842000;6.00000000;6.00000000;30.90000000
680.63719710;-2003.83488000;6.00000000;6.00000000;30.60000000
687.41153820;-2004.98135000;6.00000000;6.00000000;30.30000000
694.15132490;-2006.43255000;6.00000000;6.00000000;30.00000000
700.88785020;-2007.91245000;6.00000000;6.00000000;29.70000000
707.62437960;-2009.39251000;6.00000000;6.00000000;29.40000000
714.36089860;-2010.87242000;6.00000000;6.00000000;29.20000000
721.09786570;-2012.35233000;6.00000000;6.00000000;28.90000000
727.89223120;-2012.94133000;6.00000000;6.00000000;28.60000000
734.72390810;-2012.96581000;6.00000000;6.00000000;28.30000000
