# x_m,y_m,w_tr_right_m,w_tr_left_m
75.8081911,-25.53876959,2.197480453,2.197480453
75.50892244,-24.78243606,2.197480453,2.197480453
75.40485929,-24.01907294,2.197480453,2.197480453
75.26447715,-22.9892891,2.197480453,2.197480453
75.26447715,-22.26890097,2.197480453,2.197480453
75.33466822,-21.33979734,2.197480453,2.197480453
75.54170401,-20.05777836,2.197480453,2.197480453
75.84420287,-19.13587708,2.197480453,2.197480453
76.0890956,-18.38953734,2.197480453,2.197480453
76.72289003,-17.21284862,2.197480453,2.197480453
77.32068539,-16.48541089,2.197480453,2.197480453
77.86950981,-15.81756432,2.197480453,2.197480453
78.26956748,-15.33074715,2.197480453,2.197480453
79.33734445,-14.18786004,2.197480453,2.197480453
80.06358319,-13.14766779,2.197480453,2.197480453
80.84113074,-12.03398591,2.197480453,2.197480453
81.34559839,-11.09740243,2.197480453,2.197480453
81.67810943,-10.33460077,2.197480453,2.197480453
82.48068209,-8.493447582,2.197480453,2.197480453
82.83048603,-7.244791003,2.197480453,2.197480453
82.98893781,-6.330092074,2.197480453,2.197480453
83.19060372,-4.68075306,2.197480453,2.197480453
83.35639602,-3.324808913,2.197480453,2.197480453
83.19060372,-0.726660839,2.197480453,2.197480453
82.83048603,0.95148759,2.197480453,2.197480453
82.49917776,1.86618652,2.197480453,2.197480453
81.69971649,4.531057416,2.197480453,2.197480453
80.28805515,8.996516755,2.197480453,2.197480453
78.81877498,13.26031019,2.197480453,2.197480453
77.23245605,17.86374552,2.197480453,2.197480453
75.90866429,22.05125007,2.197480453,2.197480453
74.21074842,26.63262256,2.197480453,2.197480453
72.98020588,30.52515509,2.197480453,2.197480453
71.78390895,33.99676187,2.197480453,2.197480453
70.14809121,39.17128736,2.197480453,2.197480453
68.04041527,45.2876803,2.197480453,2.197480453
66.32031419,50.27934616,2.197480453,2.197480453
64.18470152,56.47681037,2.197480453,2.197480453
63.62901087,58.60632954,2.197480453,2.197480453
63.13700737,60.0341044,2.197480453,2.197480453
62.40232572,61.22174848,2.197480453,2.197480453
61.4899118,62.55321941,2.197480453,2.197480453
60.38795167,63.74881014,2.197480453,2.197480453
59.44444333,64.60589023,2.197480453,2.197480453
57.59343841,65.88790921,2.197480453,2.197480453
55.80005232,66.67296577,2.197480453,2.197480453
54.28755803,67.14832112,2.197480453,2.197480453
52.94792023,67.34278467,2.197480453,2.197480453
51.39941417,67.43641527,2.197480453,2.197480453
50.09595512,67.62562706,2.197480453,2.197480453
48.54007972,68.05581769,2.197480453,2.197480453
46.48752383,68.95432609,2.197480453,2.197480453
45.30622287,69.7987873,2.197480453,2.197480453
44.06741803,70.82872389,2.197480453,2.197480453
42.70617316,72.39883702,2.197480453,2.197480453
41.74826011,73.88252189,2.197480453,2.197480453
41.56099891,74.3650796,2.197480453,2.197480453
40.51958736,77.04871705,2.197480453,2.197480453
38.26462173,82.85959002,2.197480453,2.197480453
34.64673929,92.43578521,2.197480453,2.197480453
30.69840537,102.8866545,2.197480453,2.197480453
26.37939875,114.3186595,2.197480453,2.197480453
25.14683466,117.2046798,2.197480453,2.197480453
24.85606466,117.9743208,2.197480453,2.197480453
24.39778987,118.8324118,2.197480453,2.197480453
24.00886277,119.3437789,2.197480453,2.197480453
23.52828827,119.9756454,2.197480453,2.197480453
21.73291898,121.6773415,2.197480453,2.197480453
19.83610365,123.4751908,2.197480453,2.197480453
14.45854167,128.4475541,2.197480453,2.197480453
8.836892979,133.5647133,2.197480453,2.197480453
7.058536581,135.2259325,2.197480453,2.197480453
6.23464378,135.7800959,2.197480453,2.197480453
4.986652299,136.4176568,2.197480453,2.197480453
4.071006376,136.7500023,2.197480453,2.197480453
3.358837324,136.8924361,2.197480453,2.197480453
1.113809171,136.8924361,2.197480453,2.197480453
0.116772499,136.5838295,2.197480453,2.197480453
-0.859916486,136.2006148,2.197480453,2.197480453
-1.489341224,135.953653,2.197480453,2.197480453
-1.761997285,135.7597482,2.197480453,2.197480453
-2.239377738,135.4202496,2.197480453,2.197480453
-2.792946769,134.9458407,2.197480453,2.197480453
-3.035941253,134.7375943,2.197480453,2.197480453
-3.288073824,134.4032357,2.197480453,2.197480453
-3.837461378,133.8470656,2.197480453,2.197480453
-4.245803483,133.4971163,2.197480453,2.197480453
-4.668106084,133.1352027,2.197480453,2.197480453
-5.200756419,132.8296813,2.197480453,2.197480453
-5.623230223,132.5873556,2.197480453,2.197480453
-6.153782849,132.2830374,2.197480453,2.197480453
-6.659007335,132.0971645,2.197480453,2.197480453
-7.046637249,131.9545549,2.197480453,2.197480453
-7.703521944,131.7987318,2.197480453,2.197480453
-8.341082809,131.7241236,2.197480453,2.197480453
-8.721668464,131.6338428,2.197480453,2.197480453
-9.772203474,131.6338428,2.197480453,2.197480453
-10.36906897,131.7241236,2.197480453,2.197480453
-10.87017188,131.7999195,2.197480453,2.197480453
-12.52592381,132.2938588,2.197480453,2.197480453
-13.38052667,132.7889859,2.197480453,2.197480453
-13.9706096,133.2502001,2.197480453,2.197480453
-14.64886584,133.9013261,2.197480453,2.197480453
-15.22538364,134.5795824,2.197480453,2.197480453
-15.82903169,135.4002724,2.197480453,2.197480453
-16.27668081,136.2955706,2.197480453,2.197480453
-16.56290495,136.8680189,2.197480453,2.197480453
-16.88115634,137.5045217,2.197480453,2.197480453
-17.577607,138.4513816,2.197480453,2.197480453
-17.98520828,138.9299857,2.197480453,2.197480453
-18.52238722,139.4000173,2.197480453,2.197480453
-19.00156985,139.8193021,2.197480453,2.197480453
-19.54302721,140.1050646,2.197480453,2.197480453
-19.92830992,140.3084036,2.197480453,2.197480453
-20.45189171,140.584732,2.197480453,2.197480453
-21.08741667,140.8504004,2.197480453,2.197480453
-21.69845771,140.9981246,2.197480453,2.197480453
-22.07693368,141.0896243,2.197480453,2.197480453
-22.53460447,141.20027,2.197480453,2.197480453
-24.65965663,141.20027,2.197480453,2.197480453
-25.88173872,141.0438745,2.197480453,2.197480453
-26.81639216,140.9242625,2.197480453,2.197480453
-28.72207238,140.5683815,2.197480453,2.197480453
-44.32655006,137.413104,2.197480453,2.197480453
-45.51747806,137.02089,2.197480453,2.197480453
-47.35031611,136.3399394,2.197480453,2.197480453
-48.64491012,135.7663851,2.197480453,2.197480453
-50.05421499,135.0002804,2.197480453,2.197480453
-51.58642436,133.9965603,2.197480453,2.197480453
-52.08623597,133.5868787,2.197480453,2.197480453
-52.50803487,133.2411419,2.197480453,2.197480453
-52.97802663,132.9332596,2.197480453,2.197480453
